@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
5,13,20,True,True,True,True,4,5,5,11,3,13,11,18,5,8,16,10,21,-7,East
6,13,20,True,True,True,True,4,5,5,12,3,12,11,18,4,9,16,8,21,-8,East
7,13,20,True,True,True,True,4,6,5,13,3,11,11,18,5,9,16,6,19,-9,East
8,13,20,True,True,True,True,4,5,5,13,3,11,11,18,6,11,15,5,17,-10,East
9,13,20,True,True,True,True,4,4,5,12,3,11,11,18,6,13,13,4,16,-11,East
9,12,20,True,True,True,True,4,4,5,12,3,11,11,18,6,12,12,3,15,-12,South
9,11,20,True,True,True,True,4,3,5,12,3,10,11,18,5,12,11,1,15,-13,South
10,11,20,True,True,False,True,3,4,5,11,3,5,1,18,4,12,9,-1,15,186,East
11,11,20,True,True,False,True,3,3,5,11,3,5,1,18,4,14,8,-1,14,185,East
12,11,20,True,True,False,True,3,4,5,12,3,5,1,18,5,14,8,-1,12,184,East
13,11,20,True,True,False,True,3,4,5,13,3,5,1,18,5,15,8,-1,11,183,East
14,11,20,True,True,False,True,3,5,5,13,3,5,1,18,4,15,9,-1,11,182,East
15,11,20,True,True,False,True,3,6,5,12,3,5,1,18,4,15,11,-1,10,181,East
16,11,20,True,True,False,True,3,6,5,13,3,5,1,18,5,16,11,-1,8,180,East
17,11,20,True,True,False,True,3,6,5,13,3,5,1,18,4,17,12,-1,8,179,East
